iter	RMSE
0	0.7807328164
1	0.7597849804
2	0.7415657148
3	0.7233720901
4	0.7081794672
5	0.6971773927
6	0.6854251182
7	0.6767390801
8	0.6662076519
9	0.6582349917
10	0.6503409167
11	0.6437251736
12	0.6370175746
13	0.6309811592
14	0.6266133967
15	0.6213277717
16	0.6171791502
17	0.6130853593
18	0.6102143525
19	0.6066464207
20	0.6036143064
21	0.6002583712
22	0.5974355621
23	0.5932986637
24	0.5905381461
25	0.5878362445
26	0.5857445
27	0.5826458225
28	0.5783903106
29	0.5775719718
30	0.575409826
31	0.5730254682
32	0.5712730273
33	0.569107829
34	0.5672010198
35	0.5652663088
36	0.5630704661
37	0.5606900971
38	0.5591506831
39	0.5574991945
40	0.5562879691
41	0.5546998265
42	0.552857696
43	0.5513243253
44	0.5497297876
45	0.5487559871
46	0.5469543873
47	0.5460923973
48	0.5442782035
49	0.5434909277
50	0.5423010153
51	0.5410828238
52	0.5399785948
53	0.5386750636
54	0.5372936568
55	0.535264818
56	0.5344891471
57	0.5325960009
58	0.531983571
59	0.5307310708
60	0.5297660464
61	0.5292889116
62	0.528244121
63	0.5271883899
64	0.525183164
65	0.5247765675
66	0.5241656393
67	0.522659858
68	0.5222691159
69	0.5203129019
70	0.5201233058
71	0.5191342218
72	0.5187768617
73	0.517149194
74	0.5158726896
75	0.5154183596
76	0.5146728107
77	0.5144056272
78	0.5140155598
79	0.5137717505
80	0.5134987408
81	0.5131224368
82	0.5129351712
83	0.5113955014
84	0.510207084
85	0.5100337275
86	0.5098637397
87	0.5097243081
88	0.5095621258
89	0.5093116045
90	0.5075692845
91	0.5073075429
92	0.5052107084
93	0.5050510043
94	0.5049230005
95	0.5027378519
96	0.5025495183
97	0.5017826424
98	0.5007478604
99	0.4992675
100	0.4972994133
101	0.4971652876
102	0.4963171083
103	0.493801477
104	0.4916473759
105	0.4915183049
106	0.4912595007
107	0.4910380133
108	0.4897319832
109	0.486981643
110	0.4867734235
111	0.4859940728
112	0.4833623988
113	0.4818608716
114	0.4817356705
115	0.4801158377
116	0.4788319398
117	0.47871704
118	0.4769862045
119	0.4767464646
120	0.4766450859
121	0.4746641141
122	0.4731279031
123	0.4718242146
124	0.4696740917
125	0.4685055183
126	0.4677203736
127	0.4676198077
128	0.4658812012
129	0.4655737897
130	0.4646976375
131	0.4646082069
132	0.4628815241
133	0.4618988831
134	0.4618056499
135	0.4602485751
136	0.4583283409
137	0.4568792181
138	0.4554649689
139	0.455347301
140	0.4542068167
141	0.4534170739
142	0.4522380938
143	0.4521482691
144	0.452075389
145	0.4502118545
146	0.4488929569
147	0.4480115925
148	0.4478284852
149	0.4463756722
150	0.4450349948
151	0.4434083839
152	0.4418671294
153	0.4412309995
154	0.4397078877
155	0.4379988037
156	0.4370767187
157	0.4368525143
158	0.4362976893
159	0.4361852679
160	0.4353936795
161	0.4348155387
162	0.4347517488
163	0.4334120846
164	0.4313018651
165	0.4302234744
166	0.4297963353
167	0.4291617807
168	0.4278049826
169	0.4265201335
170	0.4262888784
171	0.4258848611
172	0.4240770145
173	0.4219017584
174	0.4209890567
175	0.4207651516
176	0.4196122823
177	0.4190768238
178	0.4176194878
179	0.4171576297
180	0.4160378372
181	0.4152190905
182	0.4146818912
183	0.4135324332
184	0.4118530375
185	0.4115561216
186	0.4102892229
187	0.4091713914
188	0.4079275864
189	0.4064553674
190	0.4045703558
191	0.4040214785
192	0.4030688838
193	0.4017675337
194	0.4011545318
195	0.4009663489
196	0.3998304517
197	0.3990017343
198	0.3972888533
199	0.3955581691
200	0.3945161127
201	0.3935834434
202	0.3925903231
203	0.3912077111
204	0.390712653
205	0.390361433
206	0.3887377254
207	0.387098443
208	0.3869392007
209	0.3854962462
210	0.3839169072
211	0.3828916431
212	0.3810768281
213	0.3809785237
214	0.3800485448
215	0.378826086
216	0.3778974359
217	0.3778510235
218	0.3767425237
219	0.3759180298
220	0.375190602
221	0.3743772915
222	0.3743044
223	0.3742310273
224	0.3733774052
225	0.3730317733
226	0.3722983638
227	0.3710206057
228	0.3699111849
229	0.3689524753
230	0.3682971558
231	0.3669019
232	0.3668387698
233	0.3657453067
234	0.3641278604
235	0.3626293046
236	0.3616045923
237	0.3605039133
238	0.3590487777
239	0.3578995849
240	0.3570273972
241	0.3557093415
242	0.3541528182
243	0.3533230248
244	0.3523702045
245	0.3516191255
246	0.3498799193
247	0.3494366234
248	0.3485470093
249	0.3483755266
250	0.3478837285
251	0.347100433
252	0.3457025099
253	0.3447934711
254	0.3436954828
255	0.3427437221
256	0.3414669204
257	0.3401109342
258	0.3397935378
259	0.3394789025
260	0.3385187799
261	0.3376794755
262	0.3366716908
263	0.3359332729
264	0.3347679355
265	0.333763177
266	0.3333065502
267	0.3330318309
268	0.3323174883
269	0.3314946782
270	0.3306835896
271	0.3298158098
272	0.3289905809
273	0.3277759796
274	0.3266301016
275	0.3259376259
276	0.325734157
277	0.3250315073
278	0.3244095387
279	0.3241624616
280	0.324090103
281	0.3234181955
282	0.3221438706
283	0.3214313313
284	0.320965436
285	0.3203326339
286	0.3200741733
287	0.3191928045
288	0.3187444292
289	0.3178775302
290	0.3171390826
291	0.3170399232
292	0.3164184657
293	0.3157384116
294	0.3142624054
295	0.3136233374
296	0.3125759894
297	0.3114976508
298	0.3111863822
299	0.3107257385
